2022-10-19 14:31:03.969  INFO 7 --- [qtp786722925-1755] r.h.app.handler.file.LocalFileHandler    : Generated thumbnail image, and wrote the thumbnail to [/root/.halo/upload/2022/10/支付宝-thumbnail.jpg]
2022-10-19 14:31:03.969  INFO 7 --- [qtp786722925-1755] r.h.app.handler.file.LocalFileHandler    : Uploaded file: [支付宝.jpg] to directory: [/root/.halo/upload/2022/10/支付宝.jpg] successfully
2022-10-19 14:42:33.253  INFO 7 --- [qtp786722925-1791] r.h.app.handler.file.FilePathDescriptor  : FilePathDescriptor: [FilePathDescriptor(name=喜欢, extension=png, relativePath=upload/2022/10/喜欢.png, basePath=/root/.halo, fullName=喜欢.png, fullPath=/root/.halo/upload/2022/10/喜欢.png, subPath=upload/2022/10)]
2022-10-19 14:42:33.254  INFO 7 --- [qtp786722925-1791] r.h.app.handler.file.LocalFileHandler    : Uploading file: [喜欢.png] to directory: [upload/2022/10/喜欢.png]
2022-10-19 14:42:33.256  INFO 7 --- [qtp786722925-1791] r.h.app.handler.file.FilePathDescriptor  : FilePathDescriptor: [FilePathDescriptor(name=喜欢-thumbnail, extension=png, relativePath=upload/2022/10/喜欢-thumbnail.png, basePath=/root/.halo, fullName=喜欢-thumbnail.png, fullPath=/root/.halo/upload/2022/10/喜欢-thumbnail.png, subPath=upload/2022/10)]
2022-10-19 14:42:33.274  INFO 7 --- [qtp786722925-1791] r.h.app.handler.file.LocalFileHandler    : Generated thumbnail image, and wrote the thumbnail to [/root/.halo/upload/2022/10/喜欢-thumbnail.png]
2022-10-19 14:42:33.278  INFO 7 --- [qtp786722925-1791] r.h.app.handler.file.LocalFileHandler    : Uploaded file: [喜欢.png] to directory: [/root/.halo/upload/2022/10/喜欢.png] successfully
2022-10-19 15:55:32.082  INFO 7 --- [qtp786722925-1781] r.h.app.handler.file.FilePathDescriptor  : FilePathDescriptor: [FilePathDescriptor(name=image-1666166132082, extension=png, relativePath=upload/2022/10/image-1666166132082.png, basePath=/root/.halo, fullName=image-1666166132082.png, fullPath=/root/.halo/upload/2022/10/image-1666166132082.png, subPath=upload/2022/10)]
2022-10-19 15:55:32.083  INFO 7 --- [qtp786722925-1781] r.h.app.handler.file.LocalFileHandler    : Uploading file: [image.png] to directory: [upload/2022/10/image-1666166132082.png]
2022-10-19 15:55:32.085  INFO 7 --- [qtp786722925-1781] r.h.app.handler.file.FilePathDescriptor  : FilePathDescriptor: [FilePathDescriptor(name=image-1666166132082-thumbnail, extension=png, relativePath=upload/2022/10/image-1666166132082-thumbnail.png, basePath=/root/.halo, fullName=image-1666166132082-thumbnail.png, fullPath=/root/.halo/upload/2022/10/image-1666166132082-thumbnail.png, subPath=upload/2022/10)]
